cpu,cpu,16,32,18,144715,44493,0.713344,1.60679,1.84717e+06
cpu,cpu,16,32,19,152830,44992,0.664579,1.59288,1.94874e+06
cpu,cpu,16,32,20,144224,42222,0.707786,1.7099,2.05082e+06
cpu,cpu,16,32,21,100562,36865,1.00681,1.73963,2.15206e+06
cpu,cpu,16,32,22,124612,41969,0.820718,1.6161,2.25434e+06
cpu,cpu,16,32,23,129299,43416,0.797402,1.57735,2.35744e+06
cpu,cpu,16,32,24,110825,37170,0.922816,1.82858,2.45971e+06
cpu,cpu,16,32,25,92122,26137,1.12268,2.83421,2.56314e+06
cpu,cpu,16,32,26,69358,20133,1.46993,3.59398,2.66509e+06
cpu,cpu,16,32,27,53248,25164,1.8882,2.10734,2.76563e+06
cpu,cpu,16,32,28,106565,26764,0.952506,2.83993,2.86714e+06
cpu,cpu,16,32,29,77161,25720,1.31963,2.6392,2.96896e+06
cpu,cpu,16,32,30,88106,27693,1.16369,2.53857,3.07149e+06
cpu,cpu,16,32,31,84424,25105,1.197,2.82833,3.17254e+06
cpu,cpu,16,32,32,104257,31189,1.00183,2.34696,3.27699e+06
cpu,cpu,16,32,33,121839,33845,0.842027,2.18916,3.37958e+06
cpu,cpu,16,32,34,122617,29765,0.839816,2.6198,3.48256e+06
cpu,cpu,16,32,35,64912,20930,1.5568,3.27142,3.58362e+06
cpu,cpu,16,32,36,93590,31867,1.08045,2.09265,3.68474e+06
cpu,cpu,16,32,37,57831,26543,1.74962,2.06243,3.78592e+06
cpu,cpu,16,32,38,86304,33386,1.18872,1.88413,3.88851e+06
cpu,cpu,16,32,39,123671,40549,0.820756,1.68249,3.99002e+06
cpu,cpu,16,32,40,122175,40512,0.839188,1.69158,4.09254e+06
cpu,cpu,16,32,41,121958,39521,0.839631,1.75139,4.19494e+06
cpu,cpu,16,32,42,105607,33780,0.976299,2.07584,4.29805e+06
cpu,cpu,16,32,43,103016,35510,1.0257,1.94988,4.40371e+06
cpu,cpu,16,32,44,109692,38310,0.938183,1.74809,4.50662e+06
cpu,cpu,16,32,45,113900,39556,0.910272,1.71077,4.6103e+06
cpu,cpu,16,32,46,127088,42162,0.823361,1.65845,4.71494e+06
cpu,cpu,16,32,47,105269,33944,0.965447,2.02862,4.81658e+06
cpu,cpu,16,32,48,99552,32373,1.02282,2.12246,4.9184e+06
cpu,cpu,16,32,49,95308,33141,1.07776,2.02166,5.02112e+06
cpu,cpu,8,48,1,35903,28203,2.84227,0.775994,102048
cpu,cpu,8,48,2,106682,48166,0.947562,1.15115,203136
cpu,cpu,8,48,3,103436,38745,0.977298,1.63173,304224
cpu,cpu,8,48,4,106858,35469,0.946002,1.904,405312
cpu,cpu,8,48,5,89284,33404,1.13113,1.89214,506304
cpu,cpu,8,48,6,82840,34494,1.22259,1.71354,607584
cpu,cpu,8,48,7,113615,37155,0.903259,1.85875,710208
cpu,cpu,8,48,8,80045,31399,1.26168,1.95463,811200
cpu,cpu,8,48,9,84378,33353,1.21624,1.8606,913824
cpu,cpu,8,48,10,90196,34349,1.1282,1.83433,1.01558e+06
cpu,cpu,8,48,11,99463,36334,1.01826,1.76918,1.11686e+06
cpu,cpu,8,48,12,110295,38854,0.91826,1.68836,1.21814e+06
cpu,cpu,8,48,13,79386,30857,1.27337,2.00256,1.31923e+06
cpu,cpu,8,48,14,81086,32215,1.25496,1.90372,1.42099e+06
cpu,cpu,8,48,15,81970,30891,1.23089,2.03526,1.52189e+06
cpu,cpu,8,48,16,101684,36898,0.996962,1.75049,1.62326e+06
cpu,cpu,8,48,17,101800,37423,1.00055,1.72114,1.72512e+06
cpu,cpu,8,48,18,107641,36929,0.947141,1.81358,1.82707e+06
cpu,cpu,8,48,19,105214,37157,0.96717,1.77143,1.92883e+06
cpu,cpu,8,48,20,95737,36758,1.04886,1.68293,2.02925e+06
cpu,cpu,8,48,21,102594,36293,0.98625,1.80168,2.13043e+06
cpu,cpu,8,48,22,95102,33004,1.06697,2.00752,2.2319e+06
cpu,cpu,8,48,23,94588,35606,1.06567,1.76531,2.3327e+06
cpu,cpu,8,48,24,75846,30793,1.33154,1.94809,2.4337e+06
cpu,cpu,8,48,25,88537,32106,1.14717,2.01634,2.53526e+06
cpu,cpu,8,48,26,94516,35590,1.07055,1.77249,2.63645e+06
cpu,cpu,8,48,27,99154,33916,1.02627,1.97401,2.73821e+06
cpu,cpu,8,48,28,99254,37405,1.02234,1.69045,2.83968e+06
cpu,cpu,8,48,29,93023,35553,1.09288,1.76656,2.94134e+06
cpu,cpu,8,48,30,99146,35338,1.01571,1.83401,3.04205e+06
cpu,cpu,8,48,31,101569,34964,0.999985,1.90487,3.14362e+06
cpu,cpu,8,48,32,98385,35825,1.03333,1.8044,3.24528e+06
cpu,cpu,8,48,33,101437,38688,0.992769,1.61019,3.34598e+06
cpu,cpu,8,48,34,94922,34245,1.06799,1.89232,3.44736e+06
cpu,cpu,8,48,35,88722,32307,1.1372,1.98576,3.54826e+06
cpu,cpu,8,48,36,87569,35413,1.16314,1.71303,3.65011e+06
cpu,cpu,8,48,37,94739,35903,1.06903,1.75185,3.75139e+06
